lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
лох	NOUN	1700	1700-1916	1700-1916_лох_310-14		Лов лососков и лохов на Неве В настоящее время крестьяне-рыбаки деревень: Пороги, Маслова, Оранжерейная, Островки, Кузьминка, Пески, Дубровка и Шереметьевка, расположенных по правому берегу р. Невы, довольно удачно производят лов лососков и лохов (самец); особенно хорошо идут мелкие лохи в мережки -- за одну только ночь попадает по 15--20 лохов.	15:20	0:347
лох	NOUN	1700	1700-1916	1700-1916_лох_302-14		К часам 10-ти последние пары прекратили поездовку, давшую в первый день (2 сентября) 250, во второй (4 сентября) 262 пуда принятой скупщиками чищеной осенней сёмги, не считая большого количества одновременно выловленных уже почерневших лохов, кумжей и мелкой сёмги (весом менее 2-х ф.), идущих в домашний обиход.	236:241	0:312
лох	NOUN	1700	1700-1916	1700-1916_лох_304-14		69 1 1 -- **) У крупных 68 2 1 -- лохов сильно у 67 2 -- -- более мелких 66 2 -- -- мало развитый 65 5 1 -- крюк на нижней 64 1 -- -- челюсти.	34:39	0:142
лох	NOUN	1700	1700-1916	1700-1916_лох_314-14		Между ними весьма редко попадает в тайник забора самка, случайно застрявшая вместе с лохами мужского пола в местностях ниже забора.	85:91	0:131
лох	NOUN	1700	1700-1916	1700-1916_лох_316-14		Так, во-первых, я мог убедиться в том, что там существуют уже некоторые зачатки строгого порядка, соблюдение которого столь важно для ведение рационального рыбного хозяйства, в виде некоторых разумных правил, регулирующих уже теперь осенний лов сёмги; во-вторых, что, благодаря физической невозможности покончить с поставкой забора раньше, чем во второй половине июля, дается полная возможность почти всем самкам и большому количеству самцов, миновавших неводы не только в устьях, но и по обеим сторонам устьев реки, беспрепятственно подниматься к местам нереста, чем, конечно, обеспечивается вполне существование понойской сёмги, несмотря на беспощадный способ осеннего лова, в-третьих, дается полная возможность отнерестившимся лохам, вследствие ранней уборки забора и гарв, скатиться беспрепятственно обратно в море вслед за окончанием нереста.	730:735	0:847
лох	NOUN	1700	1700-1916	1700-1916_лох_300-14		Этот приток Щугора особенно славится изобилием лоха и харьюза.	47:51	0:62
лох	NOUN	1700	1700-1916	1700-1916_лох_308-14		Несмотря на то, что как лососки, так и лохи имеют теперь некрасивый, бурый цвет и маловкусны, продаются они дорого -- по 30 коп. фунт.	39:43	0:134
лох	NOUN	1700	1700-1916	1700-1916_лох_312-14		Количеством Примечание осенней сёмги лохов (**) кумжей 85 1(*) -- -- (*) Пеструшка, т 80 1 -- -- е. не блестящая 75 4 -- -- белая, пятнистая, 72 -- 1 -- похожая 71 3 -- -- по окраске на 70 3 1 -- кумжу сёмга.	37:42	0:208
лох	NOUN	1700	1700-1916	1700-1916_лох_306-14		В сих водах, невских и морских, родятся рыбы различнаго рода: осетры, которые величиною болше яицких (весом от шести до десяти пуд), но весма мало или редко оных родятся; стерледи (которые называются костерка, весом бывают около тридцати фунтов), оных очень редко случается, и то, сказывают, ежели подлинно, будто оные нарочно с Волги привезенныя для размножения выпущены; щуки; лещи; судаки; сиги; харьюзы; лохи; окуни; плотва; караси, и то редко; ряпуха; корюха; временем сия рыба воняет или пахнет огурцами; минога; налимы; пескари; ерьши; угри.	408:413	0:548
лох	NOUN	1918	1918-1990	1918-1990_лох_311-14		Так, в Большебарсукском лесхозе и в полосе отчуждения Оренбургской железной дороги в песках Большие Барсуки были усовершенствованы и испытаны устилочный способ посадки тополя и ивы в борозды; гнездовой способ посева черной ольхи, березы и сосны в траншеи-площадки; посадка длинных черенков -- хлыстов тополя, ивы и лоха в глубокие скважины, пробуренные до уровня грунтовых вод, и т. д. Комплексный метод сельскохозяйственного освоения песчаных полупустынь Западного Казахстана, разработанный нашим коллективом (А. И.	315:319	0:516
лох	NOUN	1918	1918-1990	1918-1990_лох_307-14		На смену им уже поднялась, вскипая, вторая волна весеннего цвета; распустила белые зонтики калина, гроздья душистой акации отдыхали от гудливой твари лишь в ночи, на пустошах колючий лох отворял свой невидный желтенький цвет, задошливо-пряный, расцвела сирень.	183:186	0:260
лох	NOUN	1918	1918-1990	1918-1990_лох_315-14		Они пересекли прямиком неглубокий сай, заросший тамариском и лохом, и выехали на царскую дорогу, ведущую к главным -- изумрудным -- воротам города.	61:66	0:147
лох	NOUN	1918	1918-1990	1918-1990_лох_305-14		Бугор гоняет наперстки, а двое подставных выигрывают без перерыва, заманивая лохов.	77:82	0:83
лох	NOUN	1918	1918-1990	1918-1990_лох_303-14		Лох (ср.: Даль: лоха, солха, дура, глупая баба).	0:3	0:48
лох	NOUN	1918	1918-1990	1918-1990_лох_309-14		А то, что у Гнуча все же трубочка осталась, да и на танцульку его вместе с Филькой лохом протиснули -- в расчет не принималось.	83:88	0:127
лох	NOUN	1918	1918-1990	1918-1990_лох_301-14		Ведущий: -- Первое место заняла маска "лоха" -- 3-й ряд 8-е место.	39:43	0:66
лох	NOUN	1918	1918-1990	1918-1990_лох_317-14		Второе возражение сводится к тому, что жизнеспособность малочисленных и к тому же изолированных популяций крупных животных, подобных лох-несскому, обычно очень невелика.	133:145	0:169
лох	NOUN	1918	1918-1990	1918-1990_лох_313-14		Но Тимофей решил остаться и провести на берегу ночь, потому что более он сюда не вернется, лишь будет вспоминать кучерявую зелень займища на том берегу, тихую вечернюю воду, удушливо-пряный запах цветущего лоха, обрывистый берег, изъеденный сотами птичьих нор.	206:210	0:260
