lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
железо	NOUN	1700	1700-1916	1700-1916_железо_1664-16		Если надобно купить и выменять что, то железо служит вместо монеты.	39:45	0:67
железо	NOUN	1700	1700-1916	1700-1916_железо_1640-16		Мысль этого письма заключалась в следующем: у меня в Киеве, в паровозной и вагонной мастерской имеется громадный паровой молот, и если положить на наковальню громадный кусок железа и ударить по нем этим молотом, то от этого удара железо обратится в лист...	174:180	0:256
железо	NOUN	1700	1700-1916	1700-1916_железо_1646-16		Повсюду подъемные краны, эстакады из дерева и железа, а по обеим сторонам полотна -- целые горы руды, так давно и в таком количестве нагроможденные, что в тех местах они уже успели обрасти сверху травой.	46:52	0:203
железо	NOUN	1700	1700-1916	1700-1916_железо_1638-16		В 1763 г. парижская академия наук поручила перевести его трактат о железе на французский язык и напечатала в своем "Описании искусств и ремесел", дав отзыв, что эта работа в данной области признается лучшею.	67:73	0:207
железо	NOUN	1700	1700-1916	1700-1916_железо_1636-16		А крест им слепит глаза и обжигает, как каленым железом.	48:55	0:56
железо	NOUN	1700	1700-1916	1700-1916_железо_1648-16		Почти целая наука существует о том, как легче поднять такой-то сорт железа, как его легче тащить до барки и как класть на место.	68:74	0:128
железо	NOUN	1700	1700-1916	1700-1916_железо_1666-16		Как же здесь поступать Надо прежде всего вести исследование так же, как мы вели его на фундальных железах.	98:105	0:106
железо	NOUN	1700	1700-1916	1700-1916_железо_1652-16		На горе в 2,000 футов высоты, в Уэльсе (Великобритания), найдены доски и листы железа, снесенные ураганом с домов подгорных селений.	79:85	0:132
железо	NOUN	1700	1700-1916	1700-1916_железо_1692-16		Если микроскоп увеличивает в 3 000 раз, то частички того железа, которые растирается в гомеопатическом приготовлении, будут в 1/30 000 долю в диаметре.	57:63	0:151
железо	NOUN	1700	1700-1916	1700-1916_железо_1654-16		Уголь же везде класть по настоящей цене, ломаное железо, уступи пред целым четвертою долею.	49:55	0:91
железо	NOUN	1700	1700-1916	1700-1916_железо_1690-16		Все тела проникала она, и железо, и камень, и одиноки становились частицы тел, потерявшие связь; и в глубину частиц проникала она, и одиноки становились частицы частиц.	26:32	0:168
железо	NOUN	1700	1700-1916	1700-1916_железо_1688-16		17) Деревянные сундуки ирбитской работы, обитые железом или цинком, по 4--5 руб. за штуку, разойдутся в Хорассане до 50 шт. в год.	48:55	0:130
железо	NOUN	1700	1700-1916	1700-1916_железо_1642-16		В 1632 г., перед самой войной с Польшей, голландский купец Андрей Виниус с товарищами получил концессию на устройство заводов близ Тулы для выделки чугуна и железа, обязавшись приготовлять для казны по удешевленным ценам пушки, ядра, ружейные стволы и всякое железо.	157:163	0:266
